date,dau,month,mau,dau_mau_ratio
2023-01-01,12,2023-01,87,0.13793103448275862
2023-01-02,2,2023-01,87,0.022988505747126436
2023-01-03,5,2023-01,87,0.05747126436781609
2023-01-04,9,2023-01,87,0.10344827586206896
2023-01-05,2,2023-01,87,0.022988505747126436
2023-01-06,9,2023-01,87,0.10344827586206896
2023-01-07,5,2023-01,87,0.05747126436781609
2023-01-08,6,2023-01,87,0.06896551724137931
2023-01-09,8,2023-01,87,0.09195402298850575
2023-01-10,11,2023-01,87,0.12643678160919541
2023-01-11,2,2023-01,87,0.022988505747126436
2023-01-12,5,2023-01,87,0.05747126436781609
2023-01-13,4,2023-01,87,0.04597701149425287
2023-01-14,4,2023-01,87,0.04597701149425287
2023-01-15,4,2023-01,87,0.04597701149425287
2023-01-16,7,2023-01,87,0.08045977011494253
2023-01-17,5,2023-01,87,0.05747126436781609
2023-01-18,11,2023-01,87,0.12643678160919541
2023-01-19,6,2023-01,87,0.06896551724137931
2023-01-20,4,2023-01,87,0.04597701149425287
2023-01-21,7,2023-01,87,0.08045977011494253
2023-01-22,8,2023-01,87,0.09195402298850575
2023-01-23,7,2023-01,87,0.08045977011494253
2023-01-24,12,2023-01,87,0.13793103448275862
2023-01-25,13,2023-01,87,0.14942528735632185
2023-01-26,3,2023-01,87,0.034482758620689655
2023-01-27,9,2023-01,87,0.10344827586206896
2023-01-28,5,2023-01,87,0.05747126436781609
2023-01-29,5,2023-01,87,0.05747126436781609
2023-01-30,9,2023-01,87,0.10344827586206896
2023-01-31,8,2023-01,87,0.09195402298850575
2023-02-01,10,2023-02,85,0.11764705882352941
2023-02-02,8,2023-02,85,0.09411764705882353
2023-02-03,8,2023-02,85,0.09411764705882353
2023-02-04,6,2023-02,85,0.07058823529411765
2023-02-05,13,2023-02,85,0.15294117647058825
2023-02-06,8,2023-02,85,0.09411764705882353
2023-02-07,13,2023-02,85,0.15294117647058825
2023-02-08,5,2023-02,85,0.058823529411764705
2023-02-09,7,2023-02,85,0.08235294117647059
2023-02-10,8,2023-02,85,0.09411764705882353
2023-02-11,10,2023-02,85,0.11764705882352941
2023-02-12,8,2023-02,85,0.09411764705882353
2023-02-13,3,2023-02,85,0.03529411764705882
2023-02-14,7,2023-02,85,0.08235294117647059
2023-02-15,5,2023-02,85,0.058823529411764705
2023-02-16,9,2023-02,85,0.10588235294117647
2023-02-17,7,2023-02,85,0.08235294117647059
2023-02-18,3,2023-02,85,0.03529411764705882
2023-02-19,8,2023-02,85,0.09411764705882353
2023-02-20,4,2023-02,85,0.047058823529411764
2023-02-21,7,2023-02,85,0.08235294117647059
2023-02-22,5,2023-02,85,0.058823529411764705
2023-02-23,6,2023-02,85,0.07058823529411765
2023-02-24,6,2023-02,85,0.07058823529411765
2023-02-25,9,2023-02,85,0.10588235294117647
2023-02-26,6,2023-02,85,0.07058823529411765
2023-02-27,5,2023-02,85,0.058823529411764705
2023-02-28,11,2023-02,85,0.12941176470588237
2023-03-01,6,2023-03,87,0.06896551724137931
2023-03-02,3,2023-03,87,0.034482758620689655
2023-03-03,9,2023-03,87,0.10344827586206896
2023-03-04,5,2023-03,87,0.05747126436781609
2023-03-05,6,2023-03,87,0.06896551724137931
2023-03-06,7,2023-03,87,0.08045977011494253
2023-03-07,7,2023-03,87,0.08045977011494253
2023-03-08,7,2023-03,87,0.08045977011494253
2023-03-09,6,2023-03,87,0.06896551724137931
2023-03-10,5,2023-03,87,0.05747126436781609
2023-03-11,7,2023-03,87,0.08045977011494253
2023-03-12,5,2023-03,87,0.05747126436781609
2023-03-13,8,2023-03,87,0.09195402298850575
2023-03-14,9,2023-03,87,0.10344827586206896
2023-03-15,8,2023-03,87,0.09195402298850575
2023-03-16,11,2023-03,87,0.12643678160919541
2023-03-17,7,2023-03,87,0.08045977011494253
2023-03-18,8,2023-03,87,0.09195402298850575
2023-03-19,7,2023-03,87,0.08045977011494253
2023-03-20,8,2023-03,87,0.09195402298850575
2023-03-21,3,2023-03,87,0.034482758620689655
2023-03-22,6,2023-03,87,0.06896551724137931
2023-03-23,7,2023-03,87,0.08045977011494253
2023-03-24,6,2023-03,87,0.06896551724137931
2023-03-25,9,2023-03,87,0.10344827586206896
2023-03-26,1,2023-03,87,0.011494252873563218
2023-03-27,5,2023-03,87,0.05747126436781609
2023-03-28,5,2023-03,87,0.05747126436781609
2023-03-29,4,2023-03,87,0.04597701149425287
2023-03-30,4,2023-03,87,0.04597701149425287
2023-03-31,7,2023-03,87,0.08045977011494253
2023-04-01,6,2023-04,78,0.07692307692307693
2023-04-02,7,2023-04,78,0.08974358974358974
2023-04-03,3,2023-04,78,0.038461538461538464
2023-04-04,6,2023-04,78,0.07692307692307693
2023-04-05,4,2023-04,78,0.05128205128205128
2023-04-06,7,2023-04,78,0.08974358974358974
2023-04-07,7,2023-04,78,0.08974358974358974
2023-04-08,5,2023-04,78,0.0641025641025641
2023-04-09,4,2023-04,78,0.05128205128205128
2023-04-10,5,2023-04,78,0.0641025641025641
2023-04-11,7,2023-04,78,0.08974358974358974
2023-04-12,5,2023-04,78,0.0641025641025641
2023-04-13,5,2023-04,78,0.0641025641025641
2023-04-14,7,2023-04,78,0.08974358974358974
2023-04-15,9,2023-04,78,0.11538461538461539
2023-04-16,6,2023-04,78,0.07692307692307693
