session_id,user_id,track_id,timestamp,listen_duration_ms,track_duration_ms,skipped,context,device
sess_0000000000,user_0000039,track_0001172,2023-11-06 08:33:00,11387,276170,True,search,mobile
sess_0000000001,user_0000020,track_0002269,2024-02-14 17:04:00,78501,467307,True,playlist,desktop
sess_0000000002,user_0000032,track_0000568,2024-11-13 08:53:00,207245,238576,False,search,mobile
sess_0000000003,user_0000048,track_0003500,2023-09-17 23:44:00,137342,173413,False,playlist,mobile
sess_0000000004,user_0000001,track_0004731,2024-12-15 12:03:00,59751,267913,True,playlist,mobile
sess_0000000005,user_0000040,track_0000530,2023-08-02 08:51:00,230322,244860,False,playlist,mobile
sess_0000000006,user_0000082,track_0004468,2024-06-11 01:30:00,93076,256889,True,radio,mobile
sess_0000000007,user_0000098,track_0001722,2024-08-06 08:34:00,214447,244643,False,radio,desktop
sess_0000000008,user_0000051,track_0001393,2023-04-25 15:01:00,186764,228198,False,playlist,mobile
sess_0000000009,user_0000016,track_0001310,2023-04-28 00:09:00,26163,181318,True,playlist,desktop
sess_0000000010,user_0000017,track_0003676,2023-10-26 21:13:00,209358,410505,True,search,desktop
sess_0000000011,user_0000049,track_0003837,2024-08-08 11:14:00,183821,268347,True,playlist,mobile
sess_0000000012,user_0000075,track_0004305,2024-01-30 07:50:00,111678,400437,True,playlist,mobile
sess_0000000013,user_0000033,track_0002902,2024-12-01 11:56:00,243039,278884,False,search,mobile
sess_0000000014,user_0000046,track_0002404,2023-07-07 15:51:00,45171,182269,True,playlist,mobile
sess_0000000015,user_0000049,track_0004615,2024-07-13 17:49:00,270869,311988,False,recommendation,mobile
sess_0000000016,user_0000064,track_0004271,2024-10-14 17:42:00,92101,425437,True,playlist,mobile
sess_0000000017,user_0000043,track_0000934,2024-06-10 03:29:00,438758,476497,False,playlist,desktop
sess_0000000018,user_0000044,track_0000225,2023-11-17 20:39:00,165149,265831,False,album,mobile
sess_0000000019,user_0000035,track_0004862,2023-04-02 01:08:00,14604,168396,True,album,mobile
sess_0000000020,user_0000022,track_0001786,2023-01-07 04:41:00,91036,123583,False,playlist,desktop
sess_0000000021,user_0000037,track_0002225,2024-11-22 19:08:00,67254,137603,False,radio,desktop
sess_0000000022,user_0000053,track_0003384,2024-01-06 03:31:00,113297,267648,True,playlist,mobile
sess_0000000023,user_0000033,track_0001033,2024-03-18 14:59:00,64472,150748,True,playlist,mobile
sess_0000000024,user_0000042,track_0004241,2024-11-17 21:54:00,396879,470783,False,radio,mobile
