playlist_id,track_id,position
playlist_000000,track_0002773,0
playlist_000000,track_0004783,1
playlist_000000,track_0003746,2
playlist_000000,track_0002485,3
playlist_000000,track_0002674,4
playlist_000000,track_0000104,5
playlist_000000,track_0000780,6
playlist_000000,track_0001633,7
playlist_000000,track_0004222,8
playlist_000000,track_0003146,9
playlist_000000,track_0003355,10
playlist_000000,track_0001176,11
playlist_000000,track_0004290,12
playlist_000000,track_0000782,13
playlist_000000,track_0002774,14
playlist_000000,track_0001421,15
playlist_000000,track_0001712,16
playlist_000000,track_0003940,17
playlist_000000,track_0000514,18
playlist_000000,track_0004955,19
playlist_000000,track_0003408,20
playlist_000000,track_0001640,21
playlist_000000,track_0000541,22
playlist_000000,track_0003516,23
playlist_000000,track_0000711,24
playlist_000000,track_0003554,25
playlist_000000,track_0001156,26
playlist_000000,track_0003902,27
playlist_000000,track_0004838,28
playlist_000000,track_0004442,29
playlist_000000,track_0000817,30
playlist_000000,track_0001278,31
playlist_000000,track_0003110,32
playlist_000000,track_0001817,33
playlist_000000,track_0004389,34
playlist_000000,track_0000112,35
playlist_000000,track_0001686,36
playlist_000000,track_0004821,37
playlist_000000,track_0000342,38
playlist_000000,track_0000877,39
playlist_000000,track_0001935,40
playlist_000000,track_0004831,41
playlist_000000,track_0003236,42
playlist_000000,track_0002317,43
playlist_000000,track_0002026,44
playlist_000000,track_0003592,45
playlist_000000,track_0002378,46
playlist_000000,track_0002684,47
playlist_000000,track_0003416,48
playlist_000000,track_0004685,49
playlist_000000,track_0004175,50
playlist_000000,track_0001122,51
playlist_000000,track_0000993,52
playlist_000000,track_0003121,53
playlist_000000,track_0002700,54
playlist_000000,track_0002759,55
playlist_000000,track_0004950,56
playlist_000000,track_0003083,57
playlist_000000,track_0001170,58
playlist_000000,track_0004603,59
playlist_000000,track_0000771,60
playlist_000000,track_0001494,61
playlist_000000,track_0000764,62
playlist_000000,track_0000289,63
playlist_000000,track_0000432,64
playlist_000000,track_0002165,65
playlist_000000,track_0004844,66
playlist_000000,track_0001030,67
playlist_000000,track_0000250,68
playlist_000000,track_0003561,69
playlist_000000,track_0003257,70
playlist_000000,track_0004433,71
playlist_000000,track_0000585,72
playlist_000000,track_0004828,73
playlist_000000,track_0003936,74
playlist_000000,track_0001624,75
playlist_000000,track_0004665,76
playlist_000000,track_0003109,77
playlist_000000,track_0002050,78
playlist_000000,track_0001296,79
playlist_000000,track_0002380,80
playlist_000000,track_0000357,81
playlist_000001,track_0002783,0
playlist_000001,track_0000290,1
playlist_000001,track_0002081,2
playlist_000001,track_0000733,3
playlist_000001,track_0002975,4
playlist_000001,track_0000279,5
playlist_000001,track_0002767,6
playlist_000001,track_0002312,7
playlist_000001,track_0003394,8
playlist_000001,track_0000589,9
playlist_000001,track_0004316,10
playlist_000001,track_0001438,11
playlist_000001,track_0003826,12
playlist_000001,track_0001006,13
playlist_000001,track_0004607,14
playlist_000001,track_0001267,15
playlist_000001,track_0003465,16
playlist_000001,track_0004794,17
playlist_000001,track_0001286,18
playlist_000001,track_0001480,19
playlist_000001,track_0002841,20
playlist_000001,track_0002403,21
playlist_000001,track_0003265,22
playlist_000001,track_0004502,23
playlist_000001,track_0002016,24
playlist_000001,track_0000210,25
playlist_000001,track_0004703,26
playlist_000001,track_0004909,27
playlist_000001,track_0003942,28
playlist_000001,track_0002792,29
playlist_000001,track_0001569,30
playlist_000001,track_0003286,31
playlist_000001,track_0001123,32
playlist_000001,track_0003331,33
playlist_000001,track_0003908,34
playlist_000001,track_0004787,35
playlist_000001,track_0001979,36
playlist_000001,track_0003974,37
playlist_000001,track_0002326,38
playlist_000001,track_0001622,39
playlist_000001,track_0004586,40
playlist_000001,track_0002391,41
playlist_000001,track_0002562,42
playlist_000001,track_0001952,43
playlist_000001,track_0003903,44
playlist_000001,track_0004266,45
playlist_000001,track_0003535,46
playlist_000001,track_0004786,47
